Attributes	Close	Close	Volume	Volume
Symbols	BMO.TO	TRI.TO	BMO.TO	TRI.TO
Date				
2020-06-17	76.14	92.65	1826900.00	463900.00
2020-06-18	76.55	92.81	2034900.00	447700.00
2020-06-19	75.99	92.05	7035500.00	2685800.00
2020-06-22	75.20	92.86	1575200.00	524800.00
2020-06-23	75.93	92.26	3662300.00	731500.00
2020-06-24	73.95	90.93	3430200.00	333800.00
2020-06-25	73.75	91.61	1786900.00	376600.00
2020-06-26	70.74	91.19	3616800.00	396400.00
2020-06-29	71.46	91.50	1730300.00	396200.00
2020-06-30	72.26	92.24	2614300.00	392100.00
2020-07-02	72.11	91.67	2096200.00	348200.00
2020-07-03	72.25	91.85	384700.00	102200.00
2020-07-06	73.70	92.00	3505000.00	289900.00
2020-07-07	71.97	90.87	2226200.00	411500.00
2020-07-08	72.02	91.66	2244900.00	309300.00
2020-07-09	70.88	92.33	4444800.00	330000.00
2020-07-10	72.82	91.90	4538400.00	254800.00
2020-07-13	73.23	91.74	4278200.00	590400.00
2020-07-14	73.85	93.03	5029100.00	487300.00
2020-07-15	75.56	94.36	2239600.00	508800.00
2020-07-16	75.50	94.75	2137400.00	339100.00
2020-07-17	74.60	96.01	1688400.00	291900.00
2020-07-20	74.38	95.56	3534000.00	451700.00
2020-07-21	75.08	94.61	2205800.00	607500.00
2020-07-22	74.80	94.40	939100.00	819300.00
2020-07-23	74.24	92.77	2828900.00	786200.00
2020-07-24	73.73	91.62	2482500.00	388700.00
2020-07-27	74.17	91.49	4266100.00	663900.00
2020-07-28	73.96	92.02	5392300.00	643600.00
2020-07-29	75.07	93.27	4071900.00	282400.00
2020-07-30	75.43	93.64	3647200.00	393200.00
2020-07-31	73.28	93.46	2600000.00	610000.00
2020-08-04	73.00	94.71	5142100.00	664300.00
2020-08-05	74.41	94.87	7900600.00	417800.00
2020-08-06	74.30	98.78	4639900.00	766200.00
2020-08-07	75.25	100.11	2311800.00	498100.00
