Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Symbols,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO
Date,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-07,93.80,78.12,64.15,17.34,105.55,82.20,67.43,19.22,105.91,83.54,67.89,19.51,105.17,82.07,65.56,19.13,105.30,82.46,65.64,19.20,1480100.00,494800.00,923600.00,533400.00
2019-05-08,93.72,80.45,64.27,17.36,105.47,84.65,67.55,19.25,105.73,84.95,67.80,19.51,105.13,82.79,66.86,19.13,105.45,82.79,67.39,19.19,988500.00,1369200.00,1056900.00,400800.00
2019-05-09,92.91,80.94,65.05,18.15,104.55,85.17,68.37,20.12,105.00,85.56,68.95,20.28,104.14,84.07,67.24,19.51,104.83,84.46,67.36,19.51,1640200.00,1380800.00,873300.00,728800.00
2019-05-10,92.56,81.64,64.67,18.71,104.16,85.90,67.97,20.74,104.48,86.08,68.76,20.97,103.17,84.11,67.20,20.03,104.22,84.69,68.25,20.07,2116200.00,606800.00,746800.00,701300.00
2019-05-13,91.41,81.28,64.49,18.37,102.86,85.52,67.79,20.37,103.33,86.16,68.20,20.84,102.48,84.67,66.26,20.15,102.91,85.28,67.64,20.65,1491500.00,450800.00,535600.00,811200.00
2019-05-14,91.81,82.21,65.75,18.72,103.31,86.50,69.11,20.75,103.81,86.64,69.14,20.87,102.46,85.64,67.77,20.44,102.87,85.84,67.77,20.44,950100.00,562700.00,702900.00,1143800.00
2019-05-15,92.05,82.74,65.70,18.72,103.58,87.06,69.06,20.75,103.74,87.46,69.38,20.81,102.80,86.30,68.77,20.52,102.99,86.30,68.77,20.63,806000.00,404400.00,552900.00,503400.00
2019-05-16,92.43,83.43,66.80,18.46,104.01,87.79,70.21,20.47,104.36,88.14,70.25,20.92,103.66,87.08,69.02,20.42,103.91,87.26,69.02,20.77,900900.00,502200.00,712000.00,353500.00
2019-05-17,91.90,83.08,66.57,18.26,103.42,87.42,69.97,20.25,103.90,88.37,70.53,20.49,103.21,87.42,69.15,20.21,103.69,87.73,70.00,20.37,1497000.00,564000.00,612100.00,366700.00
2019-05-21,92.98,83.14,66.40,18.82,104.63,87.48,69.79,20.87,104.72,87.71,70.29,20.93,103.22,86.70,69.46,20.15,103.49,86.71,69.50,20.29,1701600.00,779500.00,730200.00,877100.00
2019-05-22,92.48,83.04,66.51,18.24,104.07,87.38,69.91,20.22,104.28,87.85,70.10,20.75,103.69,86.33,69.31,20.20,104.25,86.86,69.60,20.75,1622900.00,808500.00,684900.00,683100.00
2019-05-23,90.52,82.71,66.60,18.31,101.86,87.03,70.00,20.30,103.54,87.68,70.80,20.40,101.05,86.45,69.76,19.95,103.14,87.13,69.77,20.11,2534200.00,461600.00,920700.00,481600.00
2019-05-24,92.06,82.84,66.56,18.60,103.60,87.16,69.96,20.62,104.00,87.59,70.55,20.67,101.99,86.91,69.73,20.30,102.10,87.00,70.03,20.37,1747900.00,514600.00,468500.00,602000.00
2019-05-27,91.99,82.91,66.96,18.64,103.52,87.24,70.38,20.67,103.99,87.93,70.61,20.67,103.35,86.83,70.01,20.41,103.70,87.31,70.01,20.56,607500.00,111900.00,529800.00,205300.00
2019-05-28,91.57,83.62,67.35,18.51,103.04,87.98,70.79,20.52,103.48,88.47,70.86,20.65,102.60,87.29,69.59,20.37,103.27,87.29,70.00,20.58,1530600.00,1006100.00,1146000.00,1072100.00
2019-05-29,89.17,81.51,66.20,18.44,100.35,85.77,69.58,20.44,102.25,87.98,70.47,20.66,100.04,85.61,69.36,20.27,102.14,87.52,70.46,20.34,2558700.00,991800.00,675300.00,412300.00
2019-05-30,88.22,81.70,65.97,18.58,99.28,85.97,69.34,20.60,100.68,86.38,69.83,20.80,99.14,85.50,69.02,20.41,100.37,85.78,69.44,20.45,1362100.00,369600.00,467500.00,492800.00
2019-05-31,87.19,81.64,65.99,18.30,98.12,85.90,69.36,20.29,98.50,86.18,69.71,20.31,97.45,85.59,68.99,20.04,98.47,85.64,69.24,20.22,2090500.00,440300.00,645500.00,493500.00
2019-06-03,87.42,81.48,66.06,18.37,98.38,85.73,69.43,20.37,98.74,86.42,69.56,20.55,97.83,85.33,68.80,20.18,98.12,85.99,69.30,20.25,1507700.00,434800.00,479300.00,341700.00
2019-06-04,88.71,80.78,66.45,18.44,99.83,85.00,69.84,20.44,99.97,86.11,69.94,20.71,98.49,84.59,69.09,20.32,99.40,85.85,69.49,20.38,1324200.00,487000.00,582200.00,651500.00
2019-06-05,88.65,83.24,67.27,18.63,99.76,87.59,70.71,20.66,100.30,87.76,71.03,20.94,99.09,85.35,69.86,20.42,100.00,85.42,70.05,20.49,1314900.00,744800.00,467800.00,831800.00
2019-06-06,88.31,83.60,67.22,19.04,99.38,87.96,70.65,21.11,100.00,88.03,71.52,21.16,98.88,86.80,70.21,20.60,99.76,87.43,70.91,20.64,986900.00,408500.00,380500.00,880600.00
2019-06-07,87.95,84.40,67.31,18.91,98.97,88.81,70.75,20.96,99.51,88.82,71.25,21.33,98.81,87.82,70.45,20.93,99.34,87.86,70.58,21.12,1201200.00,534900.00,320400.00,642200.00
2019-06-10,88.27,82.79,66.85,19.15,99.33,87.11,70.27,21.23,99.79,88.82,70.77,21.49,99.21,86.88,70.04,21.04,99.70,88.82,70.76,21.05,728400.00,889400.00,902500.00,379800.00
2019-06-11,88.51,82.60,66.55,18.92,99.60,86.91,69.95,20.98,100.15,87.46,70.58,21.38,99.33,86.41,69.81,20.95,99.90,87.29,70.34,21.29,1088800.00,516400.00,495700.00,775800.00
2019-06-12,88.01,83.59,66.88,18.83,99.04,87.95,70.30,20.88,99.74,88.21,70.54,21.18,98.64,86.37,69.75,20.84,99.36,86.94,69.91,20.91,920500.00,615300.00,559800.00,389600.00
2019-06-13,88.11,82.20,66.40,18.87,99.15,86.49,69.48,20.92,99.46,88.14,70.19,21.00,98.76,86.29,69.19,20.74,99.18,88.10,70.11,20.85,829500.00,538100.00,593100.00,277900.00
2019-06-14,88.57,82.97,66.34,18.99,99.67,87.30,69.42,21.05,100.03,87.51,69.72,21.12,98.73,86.38,69.08,20.74,99.13,86.40,69.48,20.86,1045100.00,379100.00,393500.00,472300.00
2019-06-17,88.47,82.81,66.94,19.30,99.56,87.13,70.04,21.40,100.33,87.64,70.47,21.44,99.53,87.03,69.25,20.96,99.68,87.26,69.51,21.03,807800.00,377200.00,627500.00,527800.00
