Attributes,Close,Close,Close,Close,Volume,Volume,Volume,Volume
Symbols,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO
Date,,,,,,,,
2020-03-04,90.93,104.93,71.58,22.66,2321700.00,802100.00,953800.00,488000.00
2020-03-05,88.01,101.94,71.87,22.30,3173700.00,1160100.00,924100.00,553900.00
2020-03-06,84.37,100.30,72.35,21.72,4113800.00,1122200.00,1057500.00,332800.00
2020-03-09,73.16,96.53,67.11,19.44,5946800.00,1527000.00,1614300.00,991400.00
2020-03-10,75.97,99.70,67.97,19.59,6116200.00,1434900.00,1482400.00,1717000.00
2020-03-11,72.38,94.83,66.64,18.84,5313900.00,1084100.00,1540200.00,1181100.00
2020-03-12,60.50,85.30,59.47,15.40,11609700.00,2317200.00,1927200.00,1658700.00
2020-03-13,70.77,89.56,66.49,16.93,8046800.00,1670300.00,2087900.00,1192900.00
2020-03-16,62.01,80.78,64.60,15.24,4621900.00,1276000.00,1700700.00,1127100.00
2020-03-17,61.41,82.03,69.75,14.17,7088300.00,1534500.00,2125600.00,1452500.00
2020-03-18,58.13,81.96,67.29,13.00,5353600.00,1008500.00,1785700.00,1379200.00
